VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
2013,14720,53,5314720,Central Interior and Appalachian Riparian Systems
2014,14790,53,5314790,Central Interior and Appalachian Swamp Systems
2015,13040,49,4913040,Ozark-Ouachita Dry-Mesic Oak Forest
2016,13050,49,4913050,Southern Interior Low Plateau Dry-Mesic Oak Forest
2017,13100,49,4913100,North-Central Interior Dry-Mesic Oak Forest and Woodland
2018,13110,49,4913110,North-Central Interior Dry Oak Forest and Woodland
2019,13130,49,4913130,North-Central Interior Beech-Maple Forest
2020,13140,49,4913140,North-Central Interior Maple-Basswood Forest
2021,13210,49,4913210,South-Central Interior Mesophytic Forest
2022,13260,49,4913260,South-Central Interior/Upper Coastal Plain Flatwoods
2023,13640,49,4913640,Ozark-Ouachita Dry Oak Woodland
2024,13940,49,4913940,North-Central Interior Oak Savanna
2025,13950,49,4913950,North-Central Oak Barrens
2026,14010,49,4914010,Central Interior Highlands Calcareous Glade and Barrens
2027,14110,49,4914110,Great Lakes Wet-Mesic Lakeplain Prairie
2028,14120,49,4914120,North-Central Interior Sand and Gravel Tallgrass Prairie
2029,14210,49,4914210,Central Tallgrass Prairie
2030,14570,49,4914570,South-Central Interior/Upper Coastal Plain Wet Flatwoods
2031,14660,49,4914660,Great Lakes Wooded Dune and Swale
2032,14690,49,4914690,Eastern Great Plains Floodplain Systems
2033,14710,49,4914710,Central Interior and Appalachian Floodplain Systems
2034,14720,49,4914720,Central Interior and Appalachian Riparian Systems
2035,15170,49,4915170,Paleozoic Plateau Bluff and Talus
2036,15180,49,4915180,North-Central Interior Wet Flatwoods
2037,13040,43,4313040,Ozark-Ouachita Dry-Mesic Oak Forest
2038,13080,43,4313080,Crosstimbers Oak Forest and Woodland
2039,13100,43,4313100,North-Central Interior Dry-Mesic Oak Forest and Woodland
2040,13110,43,4313110,North-Central Interior Dry Oak Forest and Woodland
2041,13140,43,4313140,North-Central Interior Maple-Basswood Forest
2042,13340,43,4313340,Ozark-Ouachita Mesic Hardwood Forest
2043,13950,43,4313950,North-Central Oak Barrens
2044,14010,43,4314010,Central Interior Highlands Calcareous Glade and Barrens
2045,14120,43,4314120,North-Central Interior Sand and Gravel Tallgrass Prairie
2046,14210,43,4314210,Central Tallgrass Prairie
2047,14230,43,4314230,Southeastern Great Plains Tallgrass Prairie
2048,14690,43,4314690,Eastern Great Plains Floodplain Systems
2049,14710,43,4314710,Central Interior and Appalachian Floodplain Systems
2050,14880,43,4314880,Eastern Great Plains Wet Meadow-Prairie-Marsh
2051,15180,43,4315180,North-Central Interior Wet Flatwoods
2052,10130,38,3810130,Western Great Plains Dry Bur Oak Forest and Woodland
2053,10940,38,3810940,Western Great Plains Sandhill Steppe
2054,11320,38,3811320,Central Mixedgrass Prairie
2055,11480,38,3811480,Western Great Plains Sand Prairie
2056,11490,38,3811490,Western Great Plains Shortgrass Prairie
2057,11500,38,3811500,Western Great Plains Tallgrass Prairie
2058,11620,38,3811620,Western Great Plains Floodplain Systems
2059,13080,38,3813080,Crosstimbers Oak Forest and Woodland
2060,13100,38,3813100,North-Central Interior Dry-Mesic Oak Forest and Woodland
